I 10 70
N 0 6 9
N 1 7 5
N 2 8 8
N 3 9 6
N 4 8 7
N 5 5 9
N 6 6 7
N 7 8 4
N 8 7 9
N 9 6 6
E 0 1 2
E 0 2 9
E 0 3 7
E 0 4 6
E 0 5 4
E 0 6 4
E 0 7 1
E 0 8 2
E 0 9 5
E 1 2 2
E 1 3 4
E 1 4 4
E 1 7 1
E 1 8 7
E 2 0 4
E 2 1 3
E 2 3 6
E 2 4 4
E 2 5 0
E 2 7 4
E 2 8 2
E 2 9 6
E 3 1 5
E 3 2 8
E 3 4 2
E 3 6 1
E 3 7 5
E 3 8 9
E 4 0 6
E 4 2 4
E 4 3 5
E 4 5 7
E 4 6 5
E 4 7 5
E 4 9 2
E 5 0 0
E 5 1 0
E 5 2 0
E 5 3 8
E 5 4 4
E 5 6 1
E 5 7 9
E 5 8 6
E 5 9 3
E 6 0 4
E 6 1 4
E 6 2 4
E 6 3 4
E 6 7 5
E 6 8 9
E 6 9 0
E 7 0 2
E 7 2 0
E 7 3 3
E 7 4 8
E 8 0 6
E 8 1 5
E 8 2 4
E 8 3 1
E 8 4 6
E 8 5 4
E 8 6 2
E 8 7 0
E 8 9 6
E 9 1 5
E 9 3 3
E 9 4 3
E 9 5 5
E 9 6 5
E 9 8 2
T
