I 100 300
N 0 2 4
N 1 1 2
N 2 2 3
N 3 2 2
N 4 2 3
N 5 3 2
N 6 5 5
N 7 5 3
N 8 5 1
N 9 3 6
N 10 5 0
N 11 4 2
N 12 2 1
N 13 3 2
N 14 2 4
N 15 3 4
N 16 0 4
N 17 1 4
N 18 3 2
N 19 1 1
N 20 6 2
N 21 2 0
N 22 5 3
N 23 4 2
N 24 2 5
N 25 7 7
N 26 3 3
N 27 3 4
N 28 7 7
N 29 3 3
N 30 2 4
N 31 3 3
N 32 2 6
N 33 2 5
N 34 1 2
N 35 9 1
N 36 3 1
N 37 1 4
N 38 0 1
N 39 4 2
N 40 1 4
N 41 4 4
N 42 1 1
N 43 5 8
N 44 5 1
N 45 4 3
N 46 3 1
N 47 4 3
N 48 3 5
N 49 3 4
N 50 4 7
N 51 3 2
N 52 1 1
N 53 2 2
N 54 4 0
N 55 4 3
N 56 4 0
N 57 3 0
N 58 5 1
N 59 1 2
N 60 2 1
N 61 7 4
N 62 4 6
N 63 3 5
N 64 2 1
N 65 1 1
N 66 4 1
N 67 8 6
N 68 0 3
N 69 0 3
N 70 3 4
N 71 1 4
N 72 7 2
N 73 3 3
N 74 3 1
N 75 3 4
N 76 3 5
N 77 5 6
N 78 4 3
N 79 4 1
N 80 1 5
N 81 3 2
N 82 4 5
N 83 5 4
N 84 1 3
N 85 3 2
N 86 5 5
N 87 3 6
N 88 2 4
N 89 1 2
N 90 2 4
N 91 0 1
N 92 3 4
N 93 4 3
N 94 2 2
N 95 1 3
N 96 2 2
N 97 3 3
N 98 1 2
N 99 0 2
E 0 67 9
E 0 72 6
E 0 87 9
E 0 97 9
E 1 10 2
E 1 28 9
E 2 9 4
E 2 56 2
E 2 98 3
E 3 12 4
E 3 84 6
E 4 26 8
E 4 64 7
E 4 77 9
E 5 23 5
E 5 75 7
E 6 12 6
E 6 22 4
E 6 35 7
E 6 50 8
E 6 76 2
E 7 18 3
E 7 70 3
E 7 94 7
E 8 21 1
E 9 6 6
E 9 13 7
E 9 25 4
E 9 35 2
E 9 57 1
E 9 58 2
E 11 6 4
E 11 23 0
E 12 62 2
E 13 10 7
E 13 35 9
E 14 18 3
E 14 72 7
E 14 78 3
E 14 92 1
E 15 7 6
E 15 46 2
E 15 66 1
E 15 83 2
E 16 24 7
E 16 50 0
E 16 77 6
E 16 93 0
E 17 15 0
E 17 44 9
E 17 55 8
E 17 78 2
E 18 29 9
E 18 67 7
E 19 25 9
E 20 10 3
E 20 13 7
E 22 20 8
E 22 35 1
E 22 67 6
E 23 7 7
E 23 90 6
E 24 33 7
E 24 47 7
E 24 61 4
E 24 65 9
E 24 79 9
E 25 17 7
E 25 28 9
E 25 35 6
E 25 43 2
E 25 72 9
E 25 79 0
E 25 86 1
E 26 45 1
E 26 80 1
E 26 83 5
E 27 8 5
E 27 39 9
E 27 41 0
E 27 86 7
E 28 9 9
E 28 25 1
E 28 49 1
E 28 51 3
E 28 52 0
E 28 57 2
E 28 72 7
E 29 21 1
E 29 40 8
E 29 85 8
E 30 0 7
E 30 36 8
E 30 58 1
E 30 71 7
E 31 39 2
E 31 60 4
E 31 79 3
E 32 4 6
E 32 56 4
E 32 57 9
E 32 61 1
E 32 81 8
E 32 88 5
E 33 8 7
E 33 11 0
E 33 27 0
E 33 47 8
E 33 58 7
E 34 51 7
E 34 82 3
E 35 94 7
E 36 9 2
E 37 22 0
E 37 64 0
E 37 66 7
E 37 87 6
E 38 56 2
E 39 72 2
E 39 76 5
E 40 2 3
E 40 67 9
E 40 73 4
E 40 83 0
E 41 3 8
E 41 43 5
E 41 45 8
E 41 66 8
E 42 22 5
E 43 8 7
E 43 22 3
E 43 30 8
E 43 37 9
E 43 54 2
E 43 55 7
E 43 61 1
E 43 86 8
E 44 74 3
E 45 25 3
E 45 49 7
E 45 51 4
E 46 44 1
E 47 67 7
E 47 93 6
E 47 97 0
E 48 6 9
E 48 36 8
E 48 67 1
E 48 74 7
E 48 90 3
E 49 46 8
E 49 63 6
E 49 73 3
E 49 74 1
E 50 8 3
E 50 11 7
E 50 28 1
E 50 32 0
E 50 35 3
E 50 41 4
E 50 86 5
E 51 19 4
E 51 82 0
E 52 50 8
E 53 11 7
E 53 54 9
E 55 26 1
E 55 28 0
E 55 81 3
E 58 4 9
E 59 23 1
E 59 28 5
E 60 8 9
E 61 43 6
E 61 45 7
E 61 58 5
E 61 92 2
E 62 14 1
E 62 20 5
E 62 34 3
E 62 66 8
E 62 83 0
E 62 87 7
E 63 32 3
E 63 48 5
E 63 59 3
E 63 75 7
E 63 77 7
E 64 41 0
E 65 76 5
E 66 62 2
E 67 6 7
E 67 15 6
E 67 28 7
E 67 35 4
E 67 60 6
E 67 73 5
E 68 29 1
E 68 61 9
E 68 85 8
E 69 47 2
E 69 61 3
E 69 78 0
E 70 14 2
E 70 31 7
E 70 43 9
E 70 61 5
E 71 7 8
E 71 81 4
E 71 85 3
E 71 96 5
E 72 20 9
E 72 82 7
E 73 20 1
E 73 61 9
E 73 72 7
E 74 13 8
E 75 22 2
E 75 44 1
E 75 50 8
E 75 70 4
E 76 7 4
E 76 20 1
E 76 53 3
E 76 78 9
E 76 82 8
E 77 2 7
E 77 31 9
E 77 44 3
E 77 62 1
E 77 72 4
E 77 92 3
E 78 5 0
E 78 30 3
E 78 67 6
E 79 54 3
E 80 5 9
E 80 10 4
E 80 35 4
E 80 45 7
E 80 62 0
E 81 7 7
E 81 83 8
E 82 1 5
E 82 28 6
E 82 55 2
E 82 63 8
E 82 96 8
E 83 5 5
E 83 77 6
E 83 89 8
E 83 95 6
E 84 43 9
E 84 63 1
E 84 79 6
E 85 25 1
E 85 53 6
E 86 10 7
E 86 11 7
E 86 36 3
E 86 70 1
E 86 77 7
E 87 3 2
E 87 18 4
E 87 35 5
