I 1000 10000
N 0 7 16
N 1 8 9
N 2 16 9
N 3 12 8
N 4 10 18
N 5 9 12
N 6 9 13
N 7 13 7
N 8 11 9
N 9 8 8
N 10 7 13
N 11 8 3
N 12 5 10
N 13 7 8
N 14 8 10
N 15 13 5
N 16 7 10
N 17 9 10
N 18 9 15
N 19 14 14
N 20 10 10
N 21 10 16
N 22 3 13
N 23 16 8
N 24 16 14
N 25 12 8
N 26 6 9
N 27 8 7
N 28 7 6
N 29 8 13
N 30 7 14
N 31 10 9
N 32 9 14
N 33 9 7
N 34 6 13
N 35 10 14
N 36 10 8
N 37 13 8
N 38 8 11
N 39 8 11
N 40 9 10
N 41 12 15
N 42 9 5
N 43 11 10
N 44 6 15
N 45 7 7
N 46 9 6
N 47 12 8
N 48 11 8
N 49 12 6
N 50 15 14
N 51 8 10
N 52 10 9
N 53 9 9
N 54 15 13
N 55 9 13
N 56 5 9
N 57 10 11
N 58 16 11
N 59 14 11
N 60 9 11
N 61 7 16
N 62 9 6
N 63 8 11
N 64 12 10
N 65 8 14
N 66 6 8
N 67 7 16
N 68 11 15
N 69 11 6
N 70 13 13
N 71 9 8
N 72 5 6
N 73 12 11
N 74 7 8
N 75 10 9
N 76 5 9
N 77 8 13
N 78 13 5
N 79 8 9
N 80 8 9
N 81 9 4
N 82 6 10
N 83 9 9
N 84 8 4
N 85 9 12
N 86 10 7
N 87 13 11
N 88 11 14
N 89 15 10
N 90 19 11
N 91 8 5
N 92 11 14
N 93 5 7
N 94 4 10
N 95 4 11
N 96 11 11
N 97 6 8
N 98 8 11
N 99 7 6
N 100 8 11
N 101 15 12
N 102 5 9
N 103 11 11
N 104 11 9
N 105 7 14
N 106 9 8
N 107 9 14
N 108 9 11
N 109 8 11
N 110 9 11
N 111 11 11
N 112 10 5
N 113 7 15
N 114 10 7
N 115 5 11
N 116 12 9
N 117 12 9
N 118 11 14
N 119 6 15
N 120 8 12
N 121 15 8
N 122 15 9
N 123 13 13
N 124 14 15
N 125 13 11
N 126 15 8
N 127 7 6
N 128 4 11
N 129 9 9
N 130 14 7
N 131 11 15
N 132 12 3
N 133 15 6
N 134 10 17
N 135 10 17
N 136 10 14
N 137 12 8
N 138 8 6
N 139 8 9
N 140 11 16
N 141 9 10
N 142 10 13
N 143 10 14
N 144 9 10
N 145 10 11
N 146 9 7
N 147 11 14
N 148 18 10
N 149 7 6
N 150 7 15
N 151 9 9
N 152 8 6
N 153 12 11
N 154 12 11
N 155 5 8
N 156 16 7
N 157 10 13
N 158 16 8
N 159 10 8
N 160 10 7
N 161 12 14
N 162 16 9
N 163 6 14
N 164 5 17
N 165 7 11
N 166 12 12
N 167 13 4
N 168 12 11
N 169 12 13
N 170 10 10
N 171 10 15
N 172 9 8
N 173 11 18
N 174 14 10
N 175 15 18
N 176 9 7
N 177 16 9
N 178 12 14
N 179 7 6
N 180 3 9
N 181 13 12
N 182 7 8
N 183 7 10
N 184 8 15
N 185 9 8
N 186 9 4
N 187 7 8
N 188 11 7
N 189 17 8
N 190 11 13
N 191 7 12
N 192 20 9
N 193 13 10
N 194 11 9
N 195 8 10
N 196 11 9
N 197 12 15
N 198 7 7
N 199 6 13
N 200 10 6
N 201 7 5
N 202 12 9
N 203 8 17
N 204 9 2
N 205 14 8
N 206 8 9
N 207 3 6
N 208 9 10
N 209 9 7
N 210 13 8
N 211 5 7
N 212 9 8
N 213 9 10
N 214 8 8
N 215 8 11
N 216 9 11
N 217 4 8
N 218 12 8
N 219 19 16
N 220 22 13
N 221 12 11
N 222 6 6
N 223 12 16
N 224 13 11
N 225 11 19
N 226 13 8
N 227 10 3
N 228 8 5
N 229 11 10
N 230 8 6
N 231 14 7
N 232 9 13
N 233 13 7
N 234 11 11
N 235 7 10
N 236 18 7
N 237 17 10
N 238 12 15
N 239 7 7
N 240 8 11
N 241 15 9
N 242 9 13
N 243 10 12
N 244 11 9
N 245 9 13
N 246 6 7
N 247 13 14
N 248 17 11
N 249 8 7
N 250 10 9
N 251 9 11
N 252 9 11
N 253 13 7
N 254 12 8
N 255 14 10
N 256 9 7
N 257 6 6
N 258 8 7
N 259 8 14
N 260 9 11
N 261 13 11
N 262 7 10
N 263 8 9
N 264 6 8
N 265 3 9
N 266 8 6
N 267 13 13
N 268 11 12
N 269 10 5
N 270 12 10
N 271 12 10
N 272 7 14
N 273 7 9
N 274 5 12
N 275 10 12
N 276 9 16
N 277 14 7
N 278 7 18
N 279 18 5
N 280 4 6
N 281 10 8
N 282 16 10
N 283 10 5
N 284 8 21
N 285 6 12
N 286 15 8
N 287 6 10
N 288 12 10
N 289 10 8
N 290 12 5
N 291 10 9
N 292 13 9
N 293 15 6
N 294 11 12
N 295 10 13
N 296 8 13
N 297 13 11
N 298 10 8
N 299 7 10
N 300 8 9
N 301 12 9
